image_id,label_id,label_name,hum_yes_rating,hum_no_rating,hum_dont_know_rating,machine_score
8d699f27eeb9a208,/m/01d30f,Teacher,3,1,1,1
e1821f9db89acab4,/m/01d30f,Teacher,1,2,2,1
0119301a01cee4e8,/m/01d30f,Teacher,4,1,0,0
d6ae8d2777200716,/m/01d30f,Teacher,1,2,2,0
43cdc475bd823940,/m/01d30f,Teacher,0,3,2,1
daadf45145986467,/m/01d30f,Teacher,2,2,1,1
77803ce0ffd99bc5,/m/01d30f,Teacher,2,1,2,0
2e3150fb01a675fb,/m/01d30f,Teacher,5,0,0,0
5b5100fbfa585cec,/m/01d30f,Teacher,2,1,2,0
20bcee62e168551f,/m/01d30f,Teacher,3,1,1,1
ace487fc360b0ea5,/m/01d30f,Teacher,5,0,0,1
89589f82543c3aca,/m/01d30f,Teacher,1,1,3,0
2974231d1c8f6a12,/m/01d30f,Teacher,1,1,3,0
a044ae67d64ef9a5,/m/01d30f,Teacher,4,1,0,1
c58b5d5f9cc93b86,/m/01d30f,Teacher,0,2,3,0
21c0860d25e46e07,/m/01d30f,Teacher,5,0,0,1
02eb3145e144ea41,/m/01d30f,Teacher,5,0,0,0
726c8984321dfcd4,/m/01d30f,Teacher,2,2,1,0
d8e2f1730c93ee3b,/m/01d30f,Teacher,2,1,2,1
be54da6354525e73,/m/01d30f,Teacher,4,0,1,1
bc7833cc20c8ef5b,/m/01d30f,Teacher,1,1,3,1
09601de699f5b93c,/m/01d30f,Teacher,4,1,0,0
2af5880b503539af,/m/01d30f,Teacher,1,2,2,0
0c2444de052aec5a,/m/01d30f,Teacher,5,0,0,0
fc5aedde80a77c03,/m/01d30f,Teacher,3,1,1,1
d5b691d47a11b93b,/m/01d30f,Teacher,5,0,0,1
253b3c3956d800ab,/m/01d30f,Teacher,2,1,2,1
c2c478cce2efa5a6,/m/01d30f,Teacher,0,1,4,1
030ed469f79fd922,/m/01d30f,Teacher,4,0,1,1
31cd72faab744e9a,/m/01d30f,Teacher,1,2,2,1
0155d18804800f0c,/m/01d30f,Teacher,2,2,1,0
0233e1cb3ae2d70b,/m/01d30f,Teacher,3,1,1,0
12ffcea8cdb04e16,/m/01d30f,Teacher,1,1,3,0
ab77e925dce2dd04,/m/01d30f,Teacher,3,1,1,1
a323aff8ff1d58a6,/m/06c7f7,Lipstick,5,0,0,0
7b6827a0b13e2493,/m/06c7f7,Lipstick,5,0,0,0
fe0324c5b3d06d2f,/m/06c7f7,Lipstick,5,0,0,0
f8e7818974e1364d,/m/06c7f7,Lipstick,5,0,0,0
0dbeef79bf8382a3,/m/06c7f7,Lipstick,4,1,0,0
83cacb66af60f5c5,/m/06c7f7,Lipstick,0,5,0,0
14769b2810a2a2e2,/m/06c7f7,Lipstick,5,0,0,0
1f5ba92b77641815,/m/06c7f7,Lipstick,5,0,0,0
a6b781207311b0e3,/m/06c7f7,Lipstick,5,0,0,0
2d349b67525bd6b5,/m/06c7f7,Lipstick,5,0,0,0
8b52ceb405c15ed9,/m/06c7f7,Lipstick,5,0,0,1
d86343042c66a339,/m/06c7f7,Lipstick,4,1,0,0
00475462bf67fc75,/m/06c7f7,Lipstick,1,2,2,0
7b064b64400f7ffa,/m/06c7f7,Lipstick,5,0,0,0
c0285d6a008a76ad,/m/06c7f7,Lipstick,3,0,2,0
001757cfeb006c94,/m/06c7f7,Lipstick,5,0,0,0
d5d3b87a6c1ed4f6,/m/06c7f7,Lipstick,5,0,0,0
1e4367ebe90765b5,/m/06c7f7,Lipstick,5,0,0,0
58c8837d34b06e51,/m/06c7f7,Lipstick,2,3,0,0
787e5c6f29fb640e,/m/06c7f7,Lipstick,5,0,0,0
9536e4f879cb8054,/m/06c7f7,Lipstick,2,1,2,0
3c05f5119cde8ce6,/m/06c7f7,Lipstick,5,0,0,0
dbc2ac5a081e0036,/m/06c7f7,Lipstick,5,0,0,0
e740cfcd4685bf1f,/m/06c7f7,Lipstick,4,1,0,0
3af0ca63e0d4585d,/m/06c7f7,Lipstick,5,0,0,0
b7dd04ec67608adf,/m/06c7f7,Lipstick,2,3,0,0
9a8b5f19f447ded0,/m/06c7f7,Lipstick,5,0,0,0
027e1a861d892e1c,/m/06c7f7,Lipstick,5,0,0,0
60edc070d9fcbd18,/m/06c7f7,Lipstick,5,0,0,1
8876b3f35f7fcc45,/m/06c7f7,Lipstick,3,2,0,0
5ab8f52846bcd245,/m/06c7f7,Lipstick,5,0,0,0
f76001c12824f491,/m/06c7f7,Lipstick,5,0,0,0
347039d69879e4e2,/m/06c7f7,Lipstick,5,0,0,0
72eca37be1b2be11,/m/06c7f7,Lipstick,3,2,0,0
232cd35d2c6f17fe,/m/06c7f7,Lipstick,1,3,1,0
e4f2a3cfe43b2e68,/m/06c7f7,Lipstick,5,0,0,0
00e56fbe68ae4ac1,/m/06c7f7,Lipstick,5,0,0,0
45b5ae6759ae30f5,/m/06c7f7,Lipstick,5,0,0,0
60a65426cf388baa,/m/06c7f7,Lipstick,5,0,0,1
0864e99625c916c5,/m/06c7f7,Lipstick,5,0,0,0
05ac727c40311b39,/m/06c7f7,Lipstick,5,0,0,0
42f43bb2809d9f3a,/m/06c7f7,Lipstick,5,0,0,0
a9422a6c491e91d0,/m/06c7f7,Lipstick,5,0,0,0
17d0b8792acbce6e,/m/06c7f7,Lipstick,3,2,0,0
72fe0087fee58334,/m/06c7f7,Lipstick,5,0,0,0
1bb88848c8d2ac03,/m/06c7f7,Lipstick,5,0,0,0
cebb1fa8c7a09dfb,/m/06c7f7,Lipstick,4,1,0,0
077d5c83e0f8e04c,/m/06c7f7,Lipstick,5,0,0,1
009c70d7dac65e30,/m/06c7f7,Lipstick,4,1,0,0
bd043ee8fdb943c4,/m/06c7f7,Lipstick,1,4,0,1
27ba3ea19605290c,/m/06c7f7,Lipstick,5,0,0,0
a254607e161ffb7a,/m/06c7f7,Lipstick,5,0,0,0
ad23479393a2ad70,/m/06c7f7,Lipstick,4,0,1,0
00356a9c680f3210,/m/06c7f7,Lipstick,4,1,0,0
bcc77e13896c8144,/m/06c7f7,Lipstick,3,2,0,0
7bf738081aab27a6,/m/06c7f7,Lipstick,5,0,0,0
9b2bfa00c56ac2a2,/m/06c7f7,Lipstick,5,0,0,0
dc61952b7e6ded47,/m/06c7f7,Lipstick,5,0,0,0
fa47369ce773924e,/m/06c7f7,Lipstick,5,0,0,0
28f0265ad78ec133,/m/06c7f7,Lipstick,5,0,0,0
ac83d46f0dd488fa,/m/06c7f7,Lipstick,4,1,0,0
ba8f11c7383f7cf7,/m/06c7f7,Lipstick,4,0,1,0
887fcb285db7fdf3,/m/06c7f7,Lipstick,5,0,0,0
e18562d8b9478010,/m/06c7f7,Lipstick,4,1,0,1
01ffa68bc778d6de,/m/06c7f7,Lipstick,4,1,0,0
e9cfc422ff17b565,/m/06c7f7,Lipstick,5,0,0,0
fe7417fe45c0968e,/m/06c7f7,Lipstick,3,0,2,0
9557c3a1fc75f47a,/m/06c7f7,Lipstick,3,1,1,1
ea12d5e3990e9780,/m/06c7f7,Lipstick,5,0,0,0
c70f04adb7287d67,/m/06c7f7,Lipstick,5,0,0,0
364a6eb52f5ace83,/m/06c7f7,Lipstick,5,0,0,0
643d34d53fe5050b,/m/06c7f7,Lipstick,5,0,0,0
f1e9d8e6c3a781f9,/m/06c7f7,Lipstick,2,3,0,0
6bdb513da1c93dd9,/m/06c7f7,Lipstick,5,0,0,0
1670bb4896832294,/m/06c7f7,Lipstick,4,0,1,0
f2f9a9249ee39e96,/m/06c7f7,Lipstick,5,0,0,0
